transaction_id,timestamp,sender_account,receiver_account,amount,channel,sender_city,device_id,merchant_category,is_fraud,fraud_pattern
TXN0000000,2026-05-01 00:04:46.000000,ACC10308,ACC10345,1665.96,UPI,Nashik,DEV98011,fuel,0,none
TXN0000001,2026-05-01 00:32:04.000000,ACC10168,ACC10023,1138.81,UPI,Jaipur,DEV96298,ecommerce,0,none
TXN0000002,2026-05-01 01:42:59.000000,ACC10124,ACC10022,14440.04,IMPS,Thane,DEV50850,P2P,1,geo_mismatch
TXN0000003,2026-05-01 01:45:37.000000,ACC10225,ACC10198,1187.11,UPI,Kolhapur,DEV80566,ecommerce,0,none
TXN0000004,2026-05-01 01:58:01.000000,ACC10322,ACC10160,442.54,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000005,2026-05-01 01:58:42.000000,ACC10322,ACC10103,774.27,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000006,2026-05-01 02:00:28.000000,ACC10322,ACC10366,941.59,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000007,2026-05-01 02:02:51.000000,ACC10322,ACC10206,206.55,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000008,2026-05-01 02:07:25.000000,ACC10322,ACC10176,829.37,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000009,2026-05-01 02:07:52.000000,ACC10322,ACC10204,795.08,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000010,2026-05-01 02:08:08.000000,ACC10322,ACC10100,394.26,UPI,Solapur,DEV70444,P2P,1,velocity_burst
TXN0000011,2026-05-01 02:26:52.000000,ACC10067,ACC10179,736.86,IMPS,Pune,DEV96269,travel,0,none
TXN0000012,2026-05-01 02:44:53.000000,ACC10336,ACC10222,2161.62,NEFT,Mumbai,DEV16044,P2P,0,none
TXN0000013,2026-05-01 03:09:54.000000,ACC10304,ACC10031,1009.26,UPI,Jaipur,DEV77497,food_delivery,0,none
TXN0000014,2026-05-01 03:21:34.000000,ACC10183,ACC10341,1315.14,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000015,2026-05-01 03:23:03.000000,ACC10183,ACC10353,882.42,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000016,2026-05-01 03:23:04.000000,ACC10183,ACC10107,900.91,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000017,2026-05-01 03:25:31.000000,ACC10183,ACC10088,862.01,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000018,2026-05-01 03:27:30.000000,ACC10183,ACC10042,1792.48,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000019,2026-05-01 03:27:47.000000,ACC10183,ACC10037,1326.55,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000020,2026-05-01 03:29:25.000000,ACC10183,ACC10068,1136.99,UPI,Delhi,DEV42776,P2P,1,velocity_burst
TXN0000021,2026-05-01 03:41:50.000000,ACC10064,ACC10297,1803.35,IMPS,Aurangabad,DEV25353,P2P,1,geo_mismatch
TXN0000022,2026-05-01 04:08:05.000000,ACC10162,ACC10246,1633.41,IMPS,Mumbai,DEV35933,ecommerce,0,none
TXN0000023,2026-05-01 04:38:22.000000,ACC10031,ACC10030,14357.65,IMPS,Kolhapur,DEV56001,P2P,1,new_device_spike
TXN0000024,2026-05-01 04:45:05.000000,ACC10134,ACC10232,1463.51,UPI,Delhi,DEV14804,P2P,0,none
